inventor_id,name,country
79,Pierre Kim,USA
80,Michael Rossi,UK
81,Hans Brown,Switzerland
82,David Davis,USA
83,William Tanaka,Canada
84,James Schmidt,Germany
85,Pierre Williams,Germany
86,Wei Jones,France
87,Michael Jones,Germany
88,John Davis,UK
89,Wei Moore,Germany
90,Hans Johnson,Germany
91,Patricia Taylor,China
92,Hans Miller,UK
93,Yuki Tanaka,China
94,Sarah Williams,China
95,Marco Miller,Switzerland
96,William Brown,Japan
97,Robert Mueller,South Korea
98,Yuki Jones,Canada
99,James Tanaka,Netherlands
100,David Jones,Japan
101,Klaus Rodriguez,South Korea
102,James Johnson,China
103,Lisa Garcia,Germany
104,Robert Rossi,South Korea
105,Hans Moore,France
106,Pierre Mueller,USA
107,Pierre Brown,France
108,Richard Kim,UK
109,Pierre Tanaka,USA
110,Pierre Jones,France
111,Michael Schmidt,Japan
112,Charles Williams,France
113,Sarah Moore,China
114,William Chen,Japan
115,James Rodriguez,Canada
116,David Smith,Germany
117,Thomas Jones,Canada
118,Robert Kim,France
119,Robert Jones,China
120,Pierre Rossi,Netherlands
121,Klaus Martinez,Japan
122,Yuki Johnson,Netherlands
123,Richard Martinez,UK
124,Pierre Rodriguez,Canada
125,James Garcia,Japan
126,Patricia Chen,Switzerland
127,Charles Johnson,France
128,David Kim,Germany
129,Ahmad Jones,UK
130,Sarah Smith,USA
131,Robert Davis,Germany
132,Hans Rossi,UK
133,Ahmad Tanaka,Canada
134,John Schmidt,Netherlands
135,William Rodriguez,South Korea
136,William Schmidt,South Korea
137,Patricia Martinez,France
138,Patricia Davis,Japan
139,Richard Brown,UK
140,Patricia Miller,UK
141,Ahmad Moore,Netherlands
142,Pierre Smith,Germany
143,Pierre Taylor,Netherlands
144,David Williams,France
145,Klaus Rossi,Canada
146,William Smith,Netherlands
147,Lisa Johnson,France
148,Ahmad Miller,Netherlands
149,Hans Williams,USA
150,James Kim,Germany
151,Joseph Tanaka,China
152,Joseph Moore,USA
153,Ahmad Martinez,Japan
154,Hans Wilson,Japan
155,Patricia Smith,Germany
156,Ahmad Davis,UK
157,James Taylor,Netherlands
158,Robert Wilson,USA
159,Robert Johnson,Canada
160,Yuki Garcia,China
161,Klaus Williams,Canada
162,Joseph Rossi,USA
163,Lisa Davis,Netherlands
164,Hans Chen,Canada
165,John Johnson,Germany
166,Sarah Chen,South Korea
167,William Rossi,Switzerland
168,Lisa Chen,Japan
169,David Martinez,Netherlands
170,Marco Jones,USA
171,Pierre Moore,Japan
172,Ahmad Rossi,USA
173,Marco Davis,Switzerland
174,Wei Chen,Canada
175,Lisa Miller,France
176,Hans Martinez,South Korea
177,Marco Rodriguez,Switzerland
178,John Brown,South Korea
179,Joseph Wilson,Canada
180,Joseph Brown,USA
181,Pierre Wilson,France
182,Ahmad Taylor,Japan
183,Joseph Williams,South Korea
184,Thomas Williams,China
185,William Jones,Germany
186,Hans Schmidt,Germany
187,Lisa Kim,Japan
188,Richard Miller,Netherlands
189,David Moore,Canada
190,Ahmad Rodriguez,France
191,Hans Davis,South Korea
192,Charles Tanaka,France
193,Wei Smith,China
194,Ahmad Wilson,Germany
195,Yuki Rossi,China
196,Michael Garcia,France
197,Yuki Miller,Canada
198,Ahmad Chen,China
199,Richard Durand,USA
200,Klaus Wilson,China
201,Klaus Garcia,Canada
202,Thomas Tanaka,China
203,Michael Wilson,Japan
204,William Taylor,Germany
205,William Moore,China
206,Yuki Moore,Germany
207,Sarah Martinez,Netherlands
208,David Rodriguez,Japan
209,Klaus Tanaka,South Korea
210,Patricia Jones,Canada
211,Michael Rodriguez,Germany
212,David Tanaka,USA
213,Charles Mueller,Japan
214,James Moore,China
215,David Brown,China
216,Patricia Kim,USA
217,Sarah Garcia,USA
218,Michael Mueller,Japan
219,Sarah Davis,South Korea
220,Thomas Rodriguez,UK
221,Richard Davis,Netherlands
222,James Miller,South Korea
223,Hans Durand,UK
224,Charles Taylor,Switzerland
225,Thomas Schmidt,Japan
226,Sarah Rossi,Netherlands
227,Sarah Rodriguez,Netherlands
228,David Durand,China
229,James Rossi,Netherlands
230,David Schmidt,South Korea
231,Ahmad Durand,UK
232,Charles Kim,South Korea
233,Yuki Durand,UK
234,Patricia Schmidt,China
235,Hans Tanaka,China
236,Joseph Mueller,Japan
237,John Smith,Netherlands
238,Yuki Wilson,Netherlands
239,Klaus Smith,China
240,Richard Rodriguez,Canada
241,Patricia Johnson,South Korea
242,William Garcia,Germany
243,Hans Mueller,Japan
244,Charles Brown,France
245,Marco Taylor,Netherlands
246,Robert Moore,France
247,Richard Moore,France
248,Marco Schmidt,USA
249,Wei Brown,South Korea
250,William Martinez,Netherlands
251,Marco Brown,Germany
252,Klaus Durand,Canada
253,Patricia Rossi,Germany
254,Wei Kim,Germany
255,Sarah Jones,China
256,Patricia Moore,USA
257,Ahmad Johnson,USA
258,Joseph Kim,UK
259,William Mueller,Japan
260,Thomas Johnson,China
261,James Chen,France
262,Yuki Martinez,UK
263,David Chen,Japan
264,John Williams,Switzerland
265,John Taylor,USA
266,Marco Tanaka,South Korea
267,John Moore,South Korea
268,Yuki Rodriguez,UK
269,William Williams,Japan
270,Sarah Schmidt,Germany
271,Wei Williams,Netherlands
272,Lisa Smith,Canada
273,Michael Williams,Japan
274,Sarah Johnson,Germany
275,John Wilson,Netherlands
276,Marco Garcia,China
277,David Wilson,Canada
278,Richard Taylor,Switzerland
279,Joseph Martinez,Germany
280,Wei Rodriguez,South Korea
281,Joseph Johnson,Germany
282,Lisa Moore,Germany
283,Joseph Chen,South Korea
284,Robert Brown,Japan
285,Thomas Kim,South Korea
286,Yuki Brown,Germany
287,Yuki Taylor,Netherlands
288,Sarah Durand,UK
289,Yuki Mueller,Germany
290,Michael Martinez,Canada
291,James Durand,France
292,Ahmad Williams,Switzerland
293,Marco Kim,UK
294,John Garcia,USA
295,Lisa Schmidt,Switzerland
296,Hans Kim,Japan
297,Pierre Martinez,Canada
298,Richard Wilson,South Korea
299,Charles Miller,Japan
300,Thomas Martinez,Netherlands
301,John Chen,Germany
302,Wei Mueller,UK
303,David Garcia,USA
304,Patricia Wilson,France
305,Robert Miller,Netherlands
306,Lisa Tanaka,Canada
307,Charles Martinez,Netherlands
308,Robert Tanaka,USA
309,Marco Moore,Netherlands
310,Robert Taylor,Canada
311,Charles Rossi,Japan
312,Michael Miller,South Korea
313,Patricia Garcia,Canada
314,Joseph Garcia,France
315,Marco Chen,South Korea
316,John Martinez,Canada
317,Wei Johnson,France
318,Patricia Tanaka,Japan
319,Robert Chen,Japan
320,William Davis,France
321,Wei Schmidt,UK
322,Lisa Rodriguez,Switzerland
323,Richard Tanaka,Netherlands
324,Michael Kim,Switzerland
325,Charles Wilson,UK
326,John Kim,South Korea
327,Richard Rossi,South Korea
328,Sarah Wilson,China
329,Robert Garcia,France
330,Ahmad Garcia,USA
331,Yuki Kim,Switzerland
332,David Johnson,Switzerland
333,Marco Williams,UK
334,Klaus Kim,Switzerland
335,Ahmad Smith,China
336,Michael Johnson,Japan
337,Marco Durand,Germany
338,Ahmad Schmidt,Switzerland
339,Pierre Durand,UK
340,Lisa Jones,Japan
341,Robert Williams,Germany
342,Ahmad Brown,China
343,Richard Schmidt,South Korea
344,Pierre Schmidt,Switzerland
345,William Kim,France
346,Lisa Durand,Japan
347,Michael Moore,Japan
348,Thomas Davis,Switzerland
349,Hans Rodriguez,Netherlands
350,Pierre Garcia,Germany
351,Yuki Schmidt,Switzerland
352,Hans Taylor,Japan
353,Hans Jones,China
354,Wei Martinez,Netherlands
355,Yuki Smith,USA
356,James Smith,Germany
357,Richard Jones,Netherlands
358,Wei Davis,USA
359,Thomas Durand,South Korea
360,James Wilson,China
361,Robert Martinez,France
362,John Miller,Netherlands
363,Michael Tanaka,Netherlands
364,William Wilson,Canada
365,Yuki Williams,Netherlands
366,Michael Durand,UK
367,David Mueller,USA
368,William Johnson,Canada
369,Wei Taylor,Netherlands
370,Hans Smith,Switzerland
371,Michael Smith,UK
372,Lisa Brown,Netherlands
373,Pierre Johnson,UK
374,Richard Smith,USA
375,Michael Davis,USA
376,Patricia Williams,UK
377,Lisa Mueller,South Korea
378,Charles Jones,Germany
379,Marco Rossi,South Korea
380,Marco Wilson,USA
381,Joseph Jones,Switzerland
382,Joseph Davis,Switzerland
383,Charles Garcia,China
384,John Tanaka,UK
385,Sarah Brown,Netherlands
386,Charles Moore,Japan
387,Robert Durand,China
388,Pierre Chen,UK
389,Patricia Brown,South Korea
390,Yuki Chen,Canada
391,Lisa Rossi,UK
392,Michael Chen,Canada
393,Lisa Martinez,Japan
394,Pierre Miller,UK
395,David Taylor,Netherlands
396,Yuki Davis,Japan
397,William Durand,UK
398,Joseph Rodriguez,Netherlands
399,Ahmad Kim,China
400,Klaus Johnson,Japan
